iter	Passed	Remaining
472	652	726
473	652	724
474	653	722
475	654	720
476	655	718
477	656	716
478	657	714
479	657	712
480	658	710
481	659	708
482	660	706
483	661	704
484	662	703
485	663	701
486	664	699
487	665	698
488	666	696
489	668	696
490	670	694
491	671	693
492	672	691
493	673	690
494	676	689
495	677	688
496	678	686
497	679	685
498	681	684
499	682	682
500	683	680
501	684	678
502	685	676
503	686	675
504	687	673
505	688	671
506	688	669
507	690	668
508	691	667
509	692	665
510	695	665
511	696	663
512	697	662
513	698	660
514	698	658
515	699	656
516	700	654
517	701	652
518	702	650
519	703	648
520	703	647
521	704	645
522	706	644
523	707	642
524	708	641
525	710	640
526	712	639
527	713	637
528	714	635
529	714	634
530	715	632
531	716	630
532	717	628
533	718	626
534	719	625
535	721	624
536	722	623
537	724	621
538	725	620
539	726	618
540	727	616
541	727	615
542	728	613
543	729	611
544	730	610
545	731	608
546	732	606
547	733	605
548	734	603
549	735	602
550	736	600
551	738	599
552	739	597
553	740	595
554	740	594
555	741	592
556	742	590
557	743	588
558	744	586
559	744	585
560	745	583
561	746	581
562	747	580
563	749	579
564	750	578
565	752	576
566	753	575
567	753	573
568	754	571
569	755	569
570	756	568
571	757	566
572	758	565
573	759	563
574	760	562
575	761	560
576	762	558
577	762	556
578	763	555
579	764	553
580	765	552
581	766	550
582	767	548
583	768	547
584	769	545
585	770	544
586	771	543
587	772	541
588	773	539
589	774	538
590	775	536
591	776	535
592	777	533
593	778	532
594	779	530
595	780	529
596	781	527
597	782	526
598	783	524
599	784	522
600	785	521
601	786	520
602	787	518
603	788	517
604	789	515
605	790	513
606	791	512
607	792	510
608	793	509
609	794	507
610	795	506
611	797	505
612	797	503
613	798	502
614	799	500
615	800	498
616	801	497
617	802	496
618	803	494
619	804	493
620	805	491
621	806	490
622	807	488
623	808	487
624	809	485
625	810	484
626	811	482
627	811	480
628	813	479
629	814	478
630	815	476
631	816	475
632	817	473
633	817	472
634	818	470
635	819	469
636	820	467
637	821	466
638	822	464
639	822	462
640	824	461
641	824	460
642	825	458
643	826	456
644	827	455
645	828	453
646	829	452
647	830	451
648	831	449
649	832	448
650	833	446
651	833	445
652	834	443
653	835	442
654	836	440
655	837	439
656	839	438
657	840	436
658	841	435
659	842	434
660	843	432
661	844	431
662	845	429
663	846	428
664	847	426
665	847	425
666	849	424
667	850	422
668	851	421
669	852	419
670	853	418
671	854	417
672	855	415
673	856	414
674	857	412
675	858	411
676	859	409
677	860	408
678	861	407
679	862	405
680	862	404
681	863	402
682	864	401
683	865	399
684	866	398
685	866	396
686	867	395
687	868	393
688	870	392
689	871	391
690	872	390
691	873	388
692	873	387
693	874	385
694	875	384
695	876	382
696	877	381
697	878	380
698	879	378
699	879	377
700	881	375
701	882	374
702	883	373
703	884	371
704	884	370
705	885	368
706	886	367
707	887	365
708	888	364
709	889	363
710	889	361
711	890	360
712	891	358
713	892	357
714	893	356
715	894	354
716	894	353
717	895	351
718	896	350
719	897	349
720	898	347
721	899	346
722	900	344
723	900	343
724	901	342
725	902	340
726	903	339
727	904	337
728	905	336
729	905	335
730	906	333
731	907	332
732	908	330
733	909	329
734	910	328
735	912	327
736	913	325
737	914	324
738	915	323
739	915	321
740	916	320
741	917	319
742	918	317
743	919	316
744	920	315
745	921	313
746	921	312
747	922	310
748	923	309
749	924	308
750	925	306
751	926	305
752	926	304
753	927	302
754	929	301
755	929	300
756	930	298
757	931	297
758	932	296
759	933	294
760	934	293
761	935	292
762	936	290
763	936	289
764	937	288
765	938	286
766	939	285
767	940	284
768	941	282
769	942	281
770	943	280
771	944	278
772	944	277
773	945	276
774	946	274
775	947	273
776	948	272
777	949	270
778	950	269
779	951	268
780	951	266
781	952	265
782	953	264
783	954	262
784	954	261
785	955	260
786	956	258
787	957	257
788	958	256
789	959	254
790	960	253
791	960	252
792	961	251
793	963	249
794	963	248
795	964	247
796	965	245
797	966	244
798	966	243
799	967	241
800	968	240
801	969	239
802	970	238
803	971	236
804	971	235
805	972	234
806	973	232
807	974	231
808	975	230
809	977	229
810	978	227
811	979	226
812	979	225
813	980	224
814	981	222
815	982	221
816	983	220
817	983	218
818	984	217
819	985	216
820	985	214
821	986	213
822	987	212
823	989	211
824	989	209
825	991	208
826	992	207
827	993	206
828	993	205
829	994	203
830	995	202
831	996	201
832	997	199
833	997	198
834	998	197
835	999	196
836	1000	194
837	1001	193
838	1002	192
839	1003	191
840	1004	189
